feature,importance
tfidf_01,0.0022250964296415586
tfidf_calls,0.002209347877940221
tfidf_coronavirus cases,0.002103793179151017
tfidf_11,0.002097507378969651
tfidf_theguardian com business,0.002088104614886273
tfidf_com business,0.002088104614886273
tfidf_business live,0.002028445576712683
tfidf_100,0.00202665712867821
tfidf_03,0.0019998601555782413
tfidf_16,0.0019760535452315302
tfidf_live 2020 apr,0.001969690751392702
tfidf_com politics,0.0019644687437463952
tfidf_theguardian com politics,0.0019644687437463952
tfidf_drug,0.00195897858887304
tfidf_biden coronavirus,0.001930445806197579
tfidf_joe biden coronavirus,0.001912439638086758
tfidf_mail,0.0018956267801730521
tfidf_jan,0.0018943616791184188
tfidf_care,0.001887577673259728
tfidf_speech,0.0018802831638496463
tfidf_unemployment,0.001873386666245154
tfidf_pelosi,0.0018620355882723277
tfidf_2021,0.001862026113182724
tfidf_donald trump coronavirus,0.001859486698044967
tfidf_20,0.0018555647259071012
tfidf_stimulus,0.0018506548848751475
tfidf_app,0.0018408666335161124
tfidf_results,0.0018406287980447355
tfidf_23,0.0018277590768360015
tfidf_cdc,0.0018047298563719765
tfidf_near,0.0017613410734270403
tfidf_markets,0.0017557467754608504
tfidf_2021 jan,0.0017373477269569532
tfidf_highest,0.0017311269761522245
tfidf_live news updates,0.0017201597803541714
tfidf_ul li href,0.0017137576683838992
tfidf_covid 19 cases,0.0017052125694938065
tfidf_19 cases,0.0017052125694938065
tfidf_updates trump,0.001658367856281585
tfidf_30,0.0016204685188457868
tfidf_million,0.0015865764551375669
tfidf_south,0.0015862529190016975
tfidf_rate,0.0015477278620388887
tfidf_closed ul,0.0015343509137604524
tfidf_closed ul li,0.0015343509137604524
tfidf_follow latest,0.0015332333429393709
tfidf_updates politics,0.0015230374679354286
tfidf_business live page,0.0015180362249151758
tfidf_blog closed ul,0.0015176919734346506
tfidf_updates politics live,0.0015005889219144074
tfidf_com business live,0.0014810311981269648
tfidf_press,0.0014589965658404602
tfidf_business live 2020,0.0014414125889748847
tfidf_daily coronavirus,0.0014241225086271557
tfidf_live blog,0.0013890538224303676
tfidf_brazil,0.001374399906325852
tfidf_spain,0.001334781505155187
tfidf_trump coronavirus covid,0.0013156920564984808
tfidf_uk coronavirus,0.0013071378038659281
tfidf_nsw,0.001262538661041555
tfidf_data,0.0012544567282257158
tfidf_ng interactive,0.0012498622040206515
tfidf_ng,0.0012498622040206515
tfidf_13,0.0012478835780745706
tfidf_sanders,0.0012373043278366045
tfidf_global coronavirus,0.0011981304703270787
